dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate,norm_error_rate:mean,norm_error_rate:std,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:std,ece,ece:mean,ece:std,cal_loss_bias,cal_loss_bias:mean,cal_loss_bias:std,norm_min_calibration_bias,norm_min_calibration_bias:mean,norm_min_calibration_bias:std
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,1.366 ± 0.000,1.3663720964555908,0.0003344270015354123,0.091 ± 0.000,0.09083249083896586,0.0001881131335082842,88.414 ± 0.011,88.413666,0.011149335,0.158 ± 0.000,0.15831214,0.00019113717
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.152 ± 0.002,0.15202366127023664,0.0018434459954031698,0.221 ± 0.000,0.22057799714237877,0.00018437121207824728,0.184 ± 0.003,0.1837702531503077,0.0027172316393145896,28.228 ± 0.104,28.228144,0.1036234,0.158 ± 0.000,0.1583125,0.00019104475
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,0.869 ± 0.001,0.8693113232844107,0.0012890064047582396,0.406 ± 0.018,0.4058591223064981,0.01809248027096953,81.789 ± 0.039,81.78865,0.039020427,0.158 ± 0.000,0.15831259,0.00019094863
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,0.143 ± 0.013,0.1429635761589404,0.01281883624229998,0.115 ± 0.006,0.11507061819189887,0.006178982657141964,0.017 ± 0.002,0.01658956998914774,0.0017486319312005718,3.131 ± 1.137,3.13089,1.1367531,0.111 ± 0.005,0.11138993,0.00496812
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.170 ± 0.010,0.170364238410596,0.009612634680128984,0.136 ± 0.008,0.136147730665802,0.008367790325140343,0.032 ± 0.011,0.0323096492796382,0.010676904454738479,17.966 ± 4.650,17.966434,4.6501794,0.111 ± 0.005,0.111389965,0.00496837
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.405 ± 0.001,0.4048841059602649,0.0008562980490718996,0.362 ± 0.000,0.36185859357803685,0.00040550487339953753,0.039 ± 0.003,0.03881338352622156,0.0033388463921784355,0.296 ± 0.112,0.2960593,0.11166514,0.361 ± 0.000,0.36072886,1.7819197e-07
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.881 ± 0.000,0.8814569536423841,0.0,1.783 ± 0.000,1.7829167235178198,0.0,0.487 ± 0.000,0.48706296254521886,0.0,79.764 ± 0.000,79.76422,0.0,0.361 ± 0.000,0.36072904,0.0
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.405 ± 0.001,0.4048841059602649,0.0006358564360818269,0.366 ± 0.000,0.36561798379264165,0.0003543837157698911,0.076 ± 0.001,0.07589406770407495,0.0007691473840931678,1.321 ± 0.096,1.3212509,0.095680185,0.361 ± 0.000,0.36072892,4.2014932e-07
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.881 ± 0.000,0.8814569536423841,0.0,0.895 ± 0.000,0.8952929115872436,0.00025319925268362285,0.050 ± 0.004,0.049907318537749934,0.004023084837132233,59.702 ± 0.011,59.701813,0.011389178,0.361 ± 0.000,0.36072886,8.688795e-08
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,0.548 ± 0.024,0.5479321463619796,0.02442049474204102,0.656 ± 0.101,0.655966931727922,0.10074215407840803,0.167 ± 0.039,0.1667636954781755,0.03866918863611213,34.467 ± 7.509,34.466713,7.5089746,0.423 ± 0.021,0.42288494,0.020795617
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.573 ± 0.031,0.5729706995654003,0.030831855194986796,0.810 ± 0.160,0.809787550000042,0.15952760870323787,0.275 ± 0.035,0.2749267964574995,0.03528433286567499,46.377 ± 7.421,46.37655,7.4210663,0.423 ± 0.021,0.42288494,0.020795666
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.509 ± 0.055,0.5091826720874808,0.054618770203441275,0.560 ± 0.056,0.5603102088217777,0.055717250275880224,0.068 ± 0.024,0.06752764621322671,0.024255674043415002,21.044 ± 6.986,21.04449,6.98603,0.439 ± 0.000,0.4385097,7.614441e-05
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.555 ± 0.065,0.5554815645590916,0.06495031656274773,1.055 ± 0.120,1.0547900753524462,0.12032155823634656,0.200 ± 0.028,0.1997802792044998,0.028467517441067267,57.814 ± 5.367,57.813663,5.366719,0.439 ± 0.000,0.438533,6.728134e-05
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.833 ± 0.000,0.8327565097757057,3.003325017298409e-05,0.243 ± 0.000,0.24274994387668108,0.00019880333680132332,47.342 ± 0.007,47.342262,0.0072603375,0.439 ± 0.000,0.43850964,7.630011e-05
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.506 ± 0.028,0.5062386092808075,0.028437787771754767,0.582 ± 0.026,0.5817690866673303,0.025798174779404846,0.110 ± 0.031,0.11039819323958663,0.03069286728405848,24.469 ± 3.513,24.468897,3.5131674,0.439 ± 0.000,0.43850964,7.619304e-05
20newsgroups,2,40,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.694 ± 0.012,0.693787156763767,0.01243583499027523,0.083 ± 0.023,0.08273984157205631,0.023423489356833412,36.774 ± 1.125,36.77448,1.1246283,0.439 ± 0.000,0.43850964,7.6231976e-05
sst2,32,64,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,0.251 ± 0.072,0.2514018691588785,0.07176511312095168,0.502 ± 0.144,0.5017417406781179,0.14378026549808756,0.049 ± 0.036,0.04851167718759973,0.03559251689147763,21.253 ± 21.123,21.253132,21.12309,0.367 ± 0.049,0.36741132,0.04858151
sst2,32,64,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.249 ± 0.053,0.24906542056074765,0.05331200260542675,0.422 ± 0.067,0.42199620660610576,0.06683743643743653,0.037 ± 0.017,0.036546699708187726,0.017333570255131374,12.413 ± 5.033,12.412638,5.0326943,0.367 ± 0.049,0.3674112,0.048581395
sst2,32,64,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.341 ± 0.024,0.3406542056074766,0.024027962863892412,0.566 ± 0.039,0.5655108932882154,0.039487079102413385,0.041 ± 0.021,0.04095092979492629,0.02071869183856788,10.139 ± 6.472,10.138872,6.472124,0.506 ± 0.001,0.50562125,0.0008576682
sst2,32,64,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.318 ± 0.000,0.31775700934579443,0.0,0.683 ± 0.000,0.6827604532693797,0.0003676292735829292,0.176 ± 0.001,0.17618459102109169,0.0010004615352462028,25.944 ± 0.086,25.943981,0.085654214,0.506 ± 0.001,0.50562173,0.0008571716
sst2,32,64,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.317 ± 0.008,0.3168224299065421,0.008174231628287818,0.683 ± 0.000,0.682512895273521,0.00048458925954971777,0.181 ± 0.005,0.18115508288975074,0.004857946229774659,25.917 ± 0.087,25.917149,0.08682125,0.506 ± 0.001,0.50562143,0.00085720577
sst2,32,64,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.318 ± 0.000,0.31775700934579443,0.0,0.539 ± 0.039,0.5394769332493231,0.038688564447513646,0.049 ± 0.042,0.049322888392792766,0.04235887290830092,5.832 ± 6.178,5.832015,6.177676,0.506 ± 0.001,0.5056214,0.0008573226
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.214 ± 0.034,0.21397882938978827,0.03405123731594488,0.373 ± 0.120,0.37342546928630227,0.12014417139885822,0.122 ± 0.054,0.12239828348242168,0.053730880523722054,81.776 ± 6.004,81.77638,6.0037355,0.061 ± 0.003,0.060927767,0.0028469923
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.255 ± 0.032,0.2545454545454545,0.03246921885889979,0.683 ± 0.077,0.6832468703843073,0.07682592640935722,0.093 ± 0.029,0.09273891988092778,0.02941370388712498,90.920 ± 1.455,90.92028,1.4548755,0.061 ± 0.003,0.060927875,0.002847031
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.160 ± 0.035,0.16005603985056038,0.034765596054341055,0.274 ± 0.160,0.2743086165854547,0.1596226258555484,0.034 ± 0.015,0.0338872570045031,0.015094663095271977,70.939 ± 13.604,70.938866,13.603892,0.061 ± 0.003,0.06092789,0.0028470142
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.255 ± 0.032,0.2545454545454545,0.03246921885889979,0.496 ± 0.026,0.49623178465912776,0.025575281258767724,0.173 ± 0.079,0.17263400703309262,0.07854776557044425,87.664 ± 1.204,87.66356,1.2044551,0.061 ± 0.003,0.060928017,0.0028469665
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,0.178 ± 0.024,0.1781755915317559,0.02382590849981897,1.650 ± 1.955,1.6495437120304555,1.9552684080981013,0.119 ± 0.025,0.11870019382366433,0.025270092066975225,nan ± nan,,,nan ± nan,,
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.255 ± 0.032,0.2545454545454545,0.03246921885889979,0.683 ± 0.077,0.6832468703843073,0.07682592640935722,0.093 ± 0.029,0.09273891988092778,0.02941370388712498,90.920 ± 1.455,90.92028,1.4548755,0.061 ± 0.003,0.060927875,0.002847031
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.190 ± 0.024,0.18960149439601495,0.02396411034904575,0.220 ± 0.037,0.21978774487721534,0.03689961351943492,0.040 ± 0.019,0.0399175816003811,0.018802261941883384,25.867 ± 12.589,25.86731,12.589258,0.158 ± 0.000,0.1583127,0.00019100217
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.197 ± 0.033,0.19726027397260273,0.033080217546866124,0.527 ± 0.545,0.5266760487015051,0.5448790577757551,0.091 ± 0.058,0.09144257457259528,0.05816346236440115,44.481 ± 28.267,44.48139,28.267397,0.158 ± 0.000,0.15831262,0.00019105818
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.400747198007472,7.626057729713766e-05,1.366 ± 0.000,1.3663720964555908,0.0003344270015354123,0.091 ± 0.000,0.09083249083896586,0.0001881131335082842,88.414 ± 0.011,88.41366,0.011149337,0.158 ± 0.000,0.15831216,0.00019113717
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.198 ± 0.025,0.19841220423412204,0.025121388616253855,0.283 ± 0.060,0.282626094307217,0.06006675480979573,0.143 ± 0.021,0.1429441372627493,0.021134901384204027,41.964 ± 9.537,41.96442,9.536835,0.158 ± 0.000,0.15831251,0.00019101067
dbpedia,4,56,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713766e-05,0.917 ± 0.034,0.9169258976108969,0.03425567446344901,0.294 ± 0.053,0.29366509489824083,0.0531729096376456,82.711 ± 0.635,82.71068,0.6345839,0.158 ± 0.000,0.15831265,0.00019110435
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.240 ± 0.032,0.24003735990037356,0.032465725957643354,0.429 ± 0.069,0.4291450254129924,0.06915079186855687,0.145 ± 0.046,0.1452287034974909,0.045692450768076605,79.024 ± 5.814,79.02372,5.813851,0.086 ± 0.012,0.086460784,0.011990617
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.274 ± 0.050,0.27400373599003736,0.050445800260715976,0.785 ± 0.096,0.7848727712428331,0.09565004854835996,0.104 ± 0.037,0.10351036853511482,0.03690771209214219,88.786 ± 2.434,88.78599,2.4340205,0.086 ± 0.012,0.086460784,0.011990652
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.216 ± 0.031,0.21559775840597756,0.031219991244430163,0.417 ± 0.032,0.4170091543060111,0.03204665992213826,0.056 ± 0.016,0.05576215707100316,0.015951489235328943,78.979 ± 4.240,78.97939,4.2398458,0.086 ± 0.012,0.086460665,0.011990563
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.274 ± 0.050,0.27400373599003736,0.050445800260715976,0.524 ± 0.041,0.5235992115593036,0.041036876286856885,0.164 ± 0.043,0.16388601533709726,0.04293332573313464,83.306 ± 3.223,83.306496,3.2229614,0.086 ± 0.012,0.086460695,0.011990535
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,0.280 ± 0.041,0.28019925280199254,0.04054966916300531,1.006 ± 0.680,1.0059303420561299,0.6797665318683241,0.142 ± 0.084,0.141659884960485,0.08397382093226512,85.055 ± 12.352,85.05507,12.352105,0.086 ± 0.012,0.086460784,0.011990646
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.274 ± 0.050,0.27400373599003736,0.050445800260715976,0.785 ± 0.096,0.7848727712428331,0.09565004854835996,0.104 ± 0.037,0.10351036853511482,0.03690771209214219,88.786 ± 2.434,88.78599,2.4340205,0.086 ± 0.012,0.086460784,0.011990652
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.298 ± 0.047,0.29806973848069734,0.04655804531600581,0.375 ± 0.077,0.3748592295573193,0.07726694043820331,0.074 ± 0.030,0.07404324517762048,0.02964623743042036,55.185 ± 12.651,55.18464,12.651339,0.158 ± 0.000,0.1583126,0.00019109345
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar_no_es,test,0.335 ± 0.062,0.33518057285180575,0.06182411340873706,0.922 ± 0.230,0.9224689694161299,0.2301666777046452,0.165 ± 0.038,0.1654494416033235,0.038300703129597935,nan ± nan,,,nan ± nan,,
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,1.366 ± 0.000,1.3663720964555908,0.0003344270015354123,0.091 ± 0.000,0.09083249083896586,0.0001881131335082842,88.414 ± 0.011,88.413666,0.011149335,0.158 ± 0.000,0.15831214,0.00019113717
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.272 ± 0.024,0.27247820672478207,0.02433349829259937,0.407 ± 0.036,0.40677454195445933,0.03614670629258684,0.093 ± 0.005,0.09259067105000766,0.005223435611185946,60.767 ± 3.547,60.7672,3.547373,0.158 ± 0.000,0.15831253,0.00019099482
dbpedia,2,28,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,0.896 ± 0.043,0.896422336488435,0.04328488377672331,0.369 ± 0.083,0.3689698331946107,0.08319540284637009,82.301 ± 0.807,82.300514,0.80747944,0.158 ± 0.000,0.15831241,0.00019101922
dbpedia,16,224,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,0.063 ± 0.019,0.062733499377335,0.01901041234861552,0.091 ± 0.025,0.0909974414073053,0.024960954281233284,0.025 ± 0.017,0.02467764213851678,0.017300625878495804,46.590 ± 15.921,46.589798,15.920707,0.045 ± 0.010,0.045190547,0.010459129
